            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                1530799620,           2018-07-05 14:07:00,           2018-07-05 08:07:00,      3.420000,      6.231000,          7.579501,                    95.464894,      0.999000
                1530801420,           2018-07-05 14:37:00,           2018-07-05 08:37:00,      3.410000,      6.173000,          7.426510,                    93.399043,      1.000000
                1530803220,           2018-07-05 15:07:00,           2018-07-05 09:07:00,      3.420000,      6.241000,          7.480507,                    94.242190,      0.999000
                1530805020,           2018-07-05 15:37:00,           2018-07-05 09:37:00,      3.420000,      6.280000,          7.508505,                    94.689411,      0.999000
                1530806820,           2018-07-05 16:07:00,           2018-07-05 10:07:00,      3.420000,      6.348000,          7.548503,                    95.359518,      0.999000
                1530808620,           2018-07-05 16:37:00,           2018-07-05 10:37:00,      3.420000,      6.299000,          7.501506,                    94.647141,      0.999000
                1530810420,           2018-07-05 17:07:00,           2018-07-05 11:07:00,      3.420000,      6.250000,          7.414511,                    93.432282,      0.999000
                1530812220,           2018-07-05 17:37:00,           2018-07-05 11:37:00,      3.420000,      6.231000,          7.424511,                    93.512775,      1.000000
                1530814020,           2018-07-05 18:07:00,           2018-07-05 12:07:00,      3.420000,      6.221000,          7.427510,                    93.526598,      0.999000
                1530815820,           2018-07-05 18:37:00,           2018-07-05 12:37:00,      3.420000,      6.192000,          7.467508,                    93.960395,      1.000000
                1530817620,           2018-07-05 19:07:00,           2018-07-05 13:07:00,      3.420000,      6.260000,          7.439510,                    93.771297,      0.999000
                1530819420,           2018-07-05 19:37:00,           2018-07-05 13:37:00,      3.420000,      6.221000,          7.456509,                    93.891740,      0.999000
                1530821220,           2018-07-05 20:07:00,           2018-07-05 14:07:00,      3.420000,      6.328000,          7.496506,                    94.654240,      1.000000
                1530823020,           2018-07-05 20:37:00,           2018-07-05 14:37:00,      3.420000,      6.241000,          7.471508,                    94.128812,      0.999000
                1530824820,           2018-07-05 21:07:00,           2018-07-05 15:07:00,      3.420000,      6.231000,          7.413511,                    93.374238,      0.999000
                1530826620,           2018-07-05 21:37:00,           2018-07-05 15:37:00,      3.420000,      6.231000,          7.396513,                    93.160135,      1.000000
                1530828420,           2018-07-05 22:07:00,           2018-07-05 16:07:00,      3.420000,      6.280000,          7.477507,                    94.298497,      0.999000
                1530830220,           2018-07-05 22:37:00,           2018-07-05 16:37:00,      3.420000,      6.338000,          7.570502,                    95.612979,      0.999000
                1530832020,           2018-07-05 23:07:00,           2018-07-05 17:07:00,      3.420000,      6.328000,          7.548503,                    95.310772,      1.000000
                1530833820,           2018-07-05 23:37:00,           2018-07-05 17:37:00,      3.420000,      6.328000,          7.548503,                    95.310772,      0.999000
                1530835620,           2018-07-06 00:07:00,           2018-07-05 18:07:00,      3.420000,      6.221000,          7.402512,                    93.211821,      0.999000
                1530837420,           2018-07-06 00:37:00,           2018-07-05 18:37:00,      3.420000,      6.231000,          7.315518,                    92.139995,      0.999000
                1530839220,           2018-07-06 01:07:00,           2018-07-05 19:07:00,      3.420000,      6.270000,          7.451509,                    93.946586,      1.000000
                1530841020,           2018-07-06 01:37:00,           2018-07-05 19:37:00,      3.420000,      6.406000,          7.589501,                    96.019610,      0.999000
                1530842820,           2018-07-06 02:07:00,           2018-07-05 20:07:00,      3.420000,      6.202000,          7.390513,                    93.015437,      1.000000
                1530844620,           2018-07-06 02:37:00,           2018-07-05 20:37:00,      3.420000,      6.231000,          7.452509,                    93.865416,      1.000000
                1530846420,           2018-07-06 03:07:00,           2018-07-05 21:07:00,      3.420000,      6.221000,          7.409512,                    93.299959,      1.000000
                1530848220,           2018-07-06 03:37:00,           2018-07-05 21:37:00,      3.420000,      6.260000,          7.438510,                    93.758694,      0.999000
                1530850020,           2018-07-06 04:07:00,           2018-07-05 22:07:00,      3.420000,      6.328000,          7.511505,                    94.843625,      0.999000
                1530851820,           2018-07-06 04:37:00,           2018-07-05 22:37:00,      3.420000,      6.348000,          7.484507,                    94.551066,      0.999000
                1530853620,           2018-07-06 05:07:00,           2018-07-05 23:07:00,      3.420000,      6.289000,          7.421511,                    93.613887,      1.000000
                1530855420,           2018-07-06 05:37:00,           2018-07-05 23:37:00,      3.420000,      6.260000,          7.415511,                    93.468809,      1.000000
                1530857220,           2018-07-06 06:07:00,           2018-07-06 00:07:00,      3.420000,      6.212000,          7.371514,                    92.800098,      1.000000
                1530859020,           2018-07-06 06:37:00,           2018-07-06 00:37:00,      3.420000,      6.280000,          7.409512,                    93.441008,      1.000000
                1530860820,           2018-07-06 07:07:00,           2018-07-06 01:07:00,      3.420000,      6.289000,          7.427511,                    93.689565,      0.999000
                1530862620,           2018-07-06 07:37:00,           2018-07-06 01:37:00,      3.420000,      6.270000,          7.425511,                    93.618807,      0.999000
                1530864420,           2018-07-06 08:07:00,           2018-07-06 02:07:00,      3.420000,      6.212000,          7.369514,                    92.774922,      0.999000
                1530866220,           2018-07-06 08:37:00,           2018-07-06 02:37:00,      3.420000,      6.212000,          7.373514,                    92.825274,      1.000000
                1530868020,           2018-07-06 09:07:00,           2018-07-06 03:07:00,      3.420000,      6.153000,          7.338516,                    92.245069,      0.999000
                1530869820,           2018-07-06 09:37:00,           2018-07-06 03:37:00,      3.420000,      6.231000,          7.343516,                    92.492636,      1.000000
                1530871620,           2018-07-06 10:07:00,           2018-07-06 04:07:00,      3.420000,      6.221000,          7.371514,                    92.821498,      0.999000
                1530873420,           2018-07-06 10:37:00,           2018-07-06 04:37:00,      3.420000,      6.241000,          7.382514,                    93.007631,      0.999000
                1530875220,           2018-07-06 11:07:00,           2018-07-06 05:07:00,      3.420000,      6.319000,          7.465508,                    94.241154,      1.000000
                1530877020,           2018-07-06 11:37:00,           2018-07-06 05:37:00,      3.420000,      6.328000,          7.465508,                    94.262846,      0.999000
                1530878820,           2018-07-06 12:07:00,           2018-07-06 06:07:00,      3.420000,      6.280000,          7.445510,                    93.894973,      0.999000
                1530880620,           2018-07-06 12:37:00,           2018-07-06 06:37:00,      3.420000,      6.182000,          7.181527,                    90.338860,      1.000000
                1530882420,           2018-07-06 13:07:00,           2018-07-06 07:07:00,      3.420000,      6.299000,          7.391513,                    93.259353,      0.999000
                1530884220,           2018-07-06 13:37:00,           2018-07-06 07:37:00,      3.420000,      6.250000,          7.255522,                    91.428811,      1.000000
                1530886020,           2018-07-06 14:07:00,           2018-07-06 08:07:00,      3.420000,      6.163000,          7.279520,                    91.526958,      0.999000
                1530887820,           2018-07-06 14:37:00,           2018-07-06 08:37:00,      3.420000,      6.280000,          7.303519,                    92.104335,      0.999000
                1530889620,           2018-07-06 15:07:00,           2018-07-06 09:07:00,      3.420000,      6.250000,          7.307519,                    92.084034,      1.000000
                1530891420,           2018-07-06 15:37:00,           2018-07-06 09:37:00,      3.420000,      6.260000,          7.383514,                    93.065492,      0.999000
                1530893220,           2018-07-06 16:07:00,           2018-07-06 10:07:00,      3.420000,      6.241000,          7.349516,                    92.591912,      1.000000
                1530895020,           2018-07-06 16:37:00,           2018-07-06 10:37:00,      3.420000,      6.241000,          7.378514,                    92.957241,      1.000000
                1530896820,           2018-07-06 17:07:00,           2018-07-06 11:07:00,      3.420000,      6.319000,          7.452509,                    94.077059,      1.000000
                1530898620,           2018-07-06 17:37:00,           2018-07-06 11:37:00,      3.420000,      6.348000,          7.457509,                    94.210000,      1.000000
                1530900420,           2018-07-06 18:07:00,           2018-07-06 12:07:00,      3.420000,      6.348000,          7.466508,                    94.323688,      1.000000
                1530902220,           2018-07-06 18:37:00,           2018-07-06 12:37:00,      3.420000,      6.260000,          7.356515,                    92.725193,      1.000000
                1530904020,           2018-07-06 19:07:00,           2018-07-06 13:07:00,      3.420000,      6.280000,          7.368515,                    92.923993,      1.000000
                1530905820,           2018-07-06 19:37:00,           2018-07-06 13:37:00,      3.420000,      6.212000,          7.296519,                    91.855984,      0.999000
                1530907620,           2018-07-06 20:07:00,           2018-07-06 14:07:00,      3.420000,      6.212000,          7.259522,                    91.390221,      1.000000
                1530909420,           2018-07-06 20:37:00,           2018-07-06 14:37:00,      3.420000,      6.387000,          7.427511,                    93.924591,      1.000000
                1530911220,           2018-07-06 21:07:00,           2018-07-06 15:07:00,      3.420000,      6.416000,          7.473508,                    94.576262,      1.000000
                1530913020,           2018-07-06 21:37:00,           2018-07-06 15:37:00,      3.420000,      6.377000,          7.474508,                    94.494748,      1.000000
                1530914820,           2018-07-06 22:07:00,           2018-07-06 16:07:00,      3.420000,      6.367000,          7.433511,                    93.952440,      0.999000
                1530916620,           2018-07-06 22:37:00,           2018-07-06 16:37:00,      3.420000,      6.338000,          7.482507,                    94.501641,      0.999000
                1530918420,           2018-07-06 23:07:00,           2018-07-06 17:07:00,      3.420000,      6.357000,          7.423511,                    93.802084,      1.000000
                1530920220,           2018-07-06 23:37:00,           2018-07-06 17:37:00,      3.410000,      6.299000,          7.401513,                    93.385516,      1.000000
                1530922020,           2018-07-07 00:07:00,           2018-07-06 18:07:00,      3.420000,      6.348000,          7.449510,                    94.108943,      1.000000
                1530923820,           2018-07-07 00:37:00,           2018-07-06 18:37:00,      3.420000,      6.396000,          7.473508,                    94.527973,      0.999000
                1530925620,           2018-07-07 01:07:00,           2018-07-06 19:07:00,      3.420000,      6.416000,          7.488507,                    94.766072,      0.999000
                1530927420,           2018-07-07 01:37:00,           2018-07-06 19:37:00,      3.420000,      6.396000,          7.434511,                    94.034718,      1.000000
                1530929220,           2018-07-07 02:07:00,           2018-07-06 20:07:00,      3.420000,      6.309000,          7.367515,                    92.980345,      1.000000
                1530931020,           2018-07-07 02:37:00,           2018-07-06 20:37:00,      3.420000,      6.338000,          7.379514,                    93.200870,      1.000000
                1530932820,           2018-07-07 03:07:00,           2018-07-06 21:07:00,      3.420000,      6.299000,          7.372514,                    93.019645,      1.000000
                1530934620,           2018-07-07 03:37:00,           2018-07-06 21:37:00,      3.420000,      6.328000,          7.340517,                    92.684644,      1.000000
                1530936420,           2018-07-07 04:07:00,           2018-07-06 22:07:00,      3.420000,      6.348000,          7.424511,                    93.793141,      0.999000
                1530938220,           2018-07-07 04:37:00,           2018-07-06 22:37:00,      3.420000,      6.406000,          7.457509,                    94.349704,      0.999000
                1530940020,           2018-07-07 05:07:00,           2018-07-06 23:07:00,      3.420000,      6.309000,          7.335517,                    92.576522,      1.000000
                1530941820,           2018-07-07 05:37:00,           2018-07-06 23:37:00,      3.420000,      6.309000,          7.337517,                    92.601761,      1.000000
                1530943620,           2018-07-07 06:07:00,           2018-07-07 00:07:00,      3.420000,      6.289000,          7.343516,                    92.630071,      0.999000
                1530945420,           2018-07-07 06:37:00,           2018-07-07 00:37:00,      3.420000,      6.270000,          7.326517,                    92.370725,      1.000000
                1530947220,           2018-07-07 07:07:00,           2018-07-07 01:07:00,      3.420000,      6.260000,          7.326517,                    92.347083,      1.000000
                1530949020,           2018-07-07 07:37:00,           2018-07-07 01:37:00,      3.420000,      6.270000,          7.311518,                    92.181621,      1.000000
                1530950820,           2018-07-07 08:07:00,           2018-07-07 02:07:00,      3.420000,      6.309000,          7.359515,                    92.879389,      1.000000
                1530952620,           2018-07-07 08:37:00,           2018-07-07 02:37:00,      3.420000,      6.309000,          7.351516,                    92.778433,      1.000000
                1530954420,           2018-07-07 09:07:00,           2018-07-07 03:07:00,      3.420000,      6.289000,          7.341516,                    92.604845,      1.000000
                1530956220,           2018-07-07 09:37:00,           2018-07-07 03:37:00,      3.420000,      6.319000,          7.324518,                    92.461352,      0.998000
                1530958020,           2018-07-07 10:07:00,           2018-07-07 04:07:00,      3.420000,      6.280000,          7.290520,                    91.940404,      0.999000
                1530959820,           2018-07-07 10:37:00,           2018-07-07 04:37:00,      3.420000,      6.280000,          7.274521,                    91.738642,      1.000000
                1530961620,           2018-07-07 11:07:00,           2018-07-07 05:07:00,      3.420000,      6.260000,          7.243523,                    91.300978,      1.000000
