sensor,deployment,year,timestamp,depth,temperature,DO,DO_saturation,battery,Q
214424,Summer2018,2018,           2018-07-06 04:07:00,1.5,9.263,7.898,107.304,3.45,1.010
214424,Summer2018,2018,           2018-07-06 04:37:00,1.5,9.180,7.921,107.399,3.45,1.010
214424,Summer2018,2018,           2018-07-06 05:07:00,1.5,9.041,7.920,107.022,3.45,1.010
214424,Summer2018,2018,           2018-07-06 05:37:00,1.5,8.966,7.933,107.001,3.45,1.012
214424,Summer2018,2018,           2018-07-06 06:07:00,1.5,8.929,7.904,106.514,3.45,1.011
214424,Summer2018,2018,           2018-07-06 06:37:00,1.5,8.827,7.896,106.141,3.45,1.011
214424,Summer2018,2018,           2018-07-06 07:07:00,1.5,8.752,7.907,106.093,3.45,1.010
214424,Summer2018,2018,           2018-07-06 07:37:00,1.5,8.743,7.888,105.815,3.44,1.009
214424,Summer2018,2018,           2018-07-06 08:07:00,1.5,8.873,7.900,106.314,3.44,1.011
214424,Summer2018,2018,           2018-07-06 08:37:00,1.5,8.901,7.911,106.535,3.44,1.011
214424,Summer2018,2018,           2018-07-06 09:07:00,1.5,8.920,7.915,106.639,3.45,1.010
214424,Summer2018,2018,           2018-07-06 09:37:00,1.5,8.901,7.933,106.831,3.45,1.010
214424,Summer2018,2018,           2018-07-06 10:07:00,1.5,8.883,7.992,107.578,3.44,1.011
214424,Summer2018,2018,           2018-07-06 10:37:00,1.5,8.957,7.969,107.463,3.45,1.010
214424,Summer2018,2018,           2018-07-06 11:07:00,1.5,9.124,7.946,107.591,3.45,1.010
214424,Summer2018,2018,           2018-07-06 11:37:00,1.5,9.346,7.974,108.555,3.45,1.011
214424,Summer2018,2018,           2018-07-06 12:07:00,1.5,9.549,7.955,108.831,3.45,1.010
214424,Summer2018,2018,           2018-07-06 12:37:00,1.5,9.457,7.986,109.012,3.45,1.009
214424,Summer2018,2018,           2018-07-06 13:07:00,1.5,9.410,8.001,109.092,3.44,1.010
214424,Summer2018,2018,           2018-07-06 13:37:00,1.5,9.576,7.988,109.354,3.45,1.009
214424,Summer2018,2018,           2018-07-06 14:07:00,1.5,9.420,8.039,109.637,3.45,1.010
214424,Summer2018,2018,           2018-07-06 14:37:00,1.5,9.475,8.042,109.824,3.45,1.011
214424,Summer2018,2018,           2018-07-06 15:07:00,1.5,9.842,8.022,110.527,3.45,1.010
214424,Summer2018,2018,           2018-07-06 15:37:00,1.5,9.567,8.092,110.753,3.45,1.010
214424,Summer2018,2018,           2018-07-06 16:07:00,1.5,9.687,8.067,110.732,3.45,1.010
214424,Summer2018,2018,           2018-07-06 16:37:00,1.5,9.696,8.065,110.728,3.45,1.010
214424,Summer2018,2018,           2018-07-06 17:07:00,1.5,9.769,8.082,111.158,3.45,1.011
214424,Summer2018,2018,           2018-07-06 17:37:00,1.5,9.567,8.093,110.767,3.45,1.010
214424,Summer2018,2018,           2018-07-06 18:07:00,1.5,9.484,8.111,110.790,3.44,1.011
214424,Summer2018,2018,           2018-07-06 18:37:00,1.5,9.539,8.133,111.239,3.45,1.012
214424,Summer2018,2018,           2018-07-06 19:07:00,1.5,9.420,8.157,111.246,3.45,1.011
214424,Summer2018,2018,           2018-07-06 19:37:00,1.5,9.429,8.112,110.656,3.45,1.010
214424,Summer2018,2018,           2018-07-06 20:07:00,1.5,9.143,8.159,110.526,3.45,1.011
214424,Summer2018,2018,           2018-07-06 20:37:00,1.5,9.291,8.181,111.224,3.45,1.011
214424,Summer2018,2018,           2018-07-06 21:07:00,1.5,9.475,8.139,111.148,3.45,1.011
214424,Summer2018,2018,           2018-07-06 21:37:00,1.5,9.641,8.104,111.116,3.45,1.010
214424,Summer2018,2018,           2018-07-06 22:07:00,1.5,9.742,8.088,111.168,3.45,1.011
214424,Summer2018,2018,           2018-07-06 22:37:00,1.5,9.604,8.087,110.784,3.45,1.011
214424,Summer2018,2018,           2018-07-06 23:07:00,1.5,9.650,8.088,110.921,3.45,1.011
214424,Summer2018,2018,           2018-07-06 23:37:00,1.5,9.539,8.088,110.623,3.45,1.011
214424,Summer2018,2018,           2018-07-07 00:07:00,1.5,9.374,8.111,110.495,3.45,1.011
214424,Summer2018,2018,           2018-07-07 00:37:00,1.5,9.410,8.082,110.196,3.45,1.010
214424,Summer2018,2018,           2018-07-07 01:07:00,1.5,9.457,8.079,110.281,3.45,1.010
214424,Summer2018,2018,           2018-07-07 01:37:00,1.5,9.420,8.100,110.468,3.45,1.012
214424,Summer2018,2018,           2018-07-07 02:07:00,1.5,9.318,8.106,110.277,3.45,1.012
214424,Summer2018,2018,           2018-07-07 02:37:00,1.5,9.300,7.971,108.393,3.45,1.011
214424,Summer2018,2018,           2018-07-07 03:07:00,1.5,9.152,7.956,107.800,3.45,1.012
214424,Summer2018,2018,           2018-07-07 03:37:00,1.5,9.383,8.048,109.661,3.45,1.011
214424,Summer2018,2018,           2018-07-07 04:07:00,1.5,9.355,8.015,109.137,3.45,1.012
214424,Summer2018,2018,           2018-07-07 04:37:00,1.5,9.300,7.910,107.563,3.45,1.010
214424,Summer2018,2018,           2018-07-07 05:07:00,1.5,9.337,7.949,108.191,3.45,1.011
214424,Summer2018,2018,           2018-07-07 05:37:00,1.5,9.272,7.900,107.354,3.45,1.011
214424,Summer2018,2018,           2018-07-07 06:07:00,1.5,9.263,7.873,106.964,3.45,1.011
214424,Summer2018,2018,           2018-07-07 06:37:00,1.5,9.161,7.870,106.658,3.45,1.011
214424,Summer2018,2018,           2018-07-07 07:07:00,1.5,9.105,7.902,106.946,3.45,1.012
214424,Summer2018,2018,           2018-07-07 07:37:00,1.5,9.124,7.879,106.684,3.45,1.011
214424,Summer2018,2018,           2018-07-07 08:07:00,1.5,8.976,7.921,106.866,3.45,1.011
214424,Summer2018,2018,           2018-07-07 08:37:00,1.5,9.180,7.872,106.735,3.45,1.011
214424,Summer2018,2018,           2018-07-07 09:07:00,1.5,9.189,7.896,107.083,3.45,1.011
214424,Summer2018,2018,           2018-07-07 09:37:00,1.5,9.254,7.885,107.104,3.45,1.011
214424,Summer2018,2018,           2018-07-07 10:07:00,1.5,9.300,7.902,107.455,3.45,1.010
214424,Summer2018,2018,           2018-07-07 10:37:00,1.5,9.337,7.918,107.769,3.45,1.011
214424,Summer2018,2018,           2018-07-07 11:07:00,1.5,9.429,7.911,107.915,3.45,1.011
214424,Summer2018,2018,           2018-07-07 11:37:00,1.5,9.484,7.912,108.072,3.45,1.012
214424,Summer2018,2018,           2018-07-07 12:07:00,1.5,9.493,7.916,108.151,3.45,1.011
214424,Summer2018,2018,           2018-07-07 12:37:00,1.5,9.576,7.919,108.409,3.45,1.011
214424,Summer2018,2018,           2018-07-07 13:07:00,1.5,9.622,7.932,108.708,3.45,1.011
214424,Summer2018,2018,           2018-07-07 13:37:00,1.5,9.659,7.950,109.052,3.45,1.010
214424,Summer2018,2018,           2018-07-07 14:07:00,1.5,9.659,7.976,109.409,3.45,1.012
214424,Summer2018,2018,           2018-07-07 14:37:00,1.5,9.696,7.962,109.315,3.45,1.011
214424,Summer2018,2018,           2018-07-07 15:07:00,1.5,9.687,7.992,109.702,3.45,1.012
214424,Summer2018,2018,           2018-07-07 15:37:00,1.5,9.650,7.982,109.467,3.45,1.011
214424,Summer2018,2018,           2018-07-07 16:07:00,1.5,9.842,7.953,109.576,3.45,1.012
214424,Summer2018,2018,           2018-07-07 16:37:00,1.5,9.852,7.912,109.038,3.45,1.011
214424,Summer2018,2018,           2018-07-07 17:07:00,1.5,9.778,7.926,109.036,3.45,1.011
214424,Summer2018,2018,           2018-07-07 17:37:00,1.5,9.705,7.944,109.091,3.45,1.011
214424,Summer2018,2018,           2018-07-07 18:07:00,1.5,9.723,7.920,108.809,3.45,1.011
214424,Summer2018,2018,           2018-07-07 18:37:00,1.5,9.659,7.944,108.970,3.45,1.011
214424,Summer2018,2018,           2018-07-07 19:07:00,1.5,9.650,7.938,108.864,3.45,1.012
214424,Summer2018,2018,           2018-07-07 19:37:00,1.5,9.576,7.983,109.285,3.45,1.012
214424,Summer2018,2018,           2018-07-07 20:07:00,1.5,9.687,7.935,108.920,3.45,1.011
214424,Summer2018,2018,           2018-07-07 20:37:00,1.5,9.687,7.955,109.195,3.45,1.012
214424,Summer2018,2018,           2018-07-07 21:07:00,1.5,9.687,7.938,108.961,3.45,1.011
214424,Summer2018,2018,           2018-07-07 21:37:00,1.5,9.696,7.932,108.903,3.45,1.012
214424,Summer2018,2018,           2018-07-07 22:07:00,1.5,9.687,7.926,108.797,3.45,1.012
214424,Summer2018,2018,           2018-07-07 22:37:00,1.5,9.668,7.901,108.404,3.45,1.010
214424,Summer2018,2018,           2018-07-07 23:07:00,1.5,9.641,7.903,108.360,3.45,1.011
214424,Summer2018,2018,           2018-07-07 23:37:00,1.5,9.650,7.896,108.288,3.45,1.012
214424,Summer2018,2018,           2018-07-08 00:07:00,1.5,9.595,7.912,108.363,3.45,1.012
214424,Summer2018,2018,           2018-07-08 00:37:00,1.5,9.567,7.901,108.139,3.45,1.013
214424,Summer2018,2018,           2018-07-08 01:07:00,1.5,9.466,7.853,107.220,3.45,1.012
214424,Summer2018,2018,           2018-07-08 01:37:00,1.5,9.383,7.816,106.500,3.45,1.012
214424,Summer2018,2018,           2018-07-08 02:07:00,1.5,9.374,7.834,106.722,3.45,1.012
214424,Summer2018,2018,           2018-07-08 02:37:00,1.5,9.410,7.842,106.924,3.45,1.011
214424,Summer2018,2018,           2018-07-08 03:07:00,1.5,9.401,7.821,106.615,3.45,1.011
214424,Summer2018,2018,           2018-07-08 03:37:00,1.5,9.300,7.833,106.517,3.45,1.011
214424,Summer2018,2018,           2018-07-08 04:07:00,1.5,9.337,7.815,106.367,3.45,1.011
214424,Summer2018,2018,           2018-07-08 04:37:00,1.5,9.337,7.789,106.000,3.45,1.012
214424,Summer2018,2018,           2018-07-08 05:07:00,1.5,9.300,7.774,105.701,3.45,1.012
214424,Summer2018,2018,           2018-07-08 05:37:00,1.5,9.263,7.756,105.361,3.45,1.012
214424,Summer2018,2018,           2018-07-08 06:07:00,1.5,9.235,7.731,104.950,3.45,1.012
214424,Summer2018,2018,           2018-07-08 06:37:00,1.5,9.143,7.739,104.823,3.45,1.012
214424,Summer2018,2018,           2018-07-08 07:07:00,1.5,9.105,7.746,104.821,3.45,1.012
214424,Summer2018,2018,           2018-07-08 07:37:00,1.5,9.133,7.750,104.947,3.45,1.012
214424,Summer2018,2018,           2018-07-08 08:07:00,1.5,9.133,7.753,104.987,3.45,1.012
214424,Summer2018,2018,           2018-07-08 08:37:00,1.5,9.152,7.749,104.982,3.45,1.012
214424,Summer2018,2018,           2018-07-08 09:07:00,1.5,9.226,7.741,105.063,3.45,1.012
214424,Summer2018,2018,           2018-07-08 09:37:00,1.5,9.207,7.756,105.218,3.45,1.011
214424,Summer2018,2018,           2018-07-08 10:07:00,1.5,9.300,7.767,105.606,3.45,1.012
214424,Summer2018,2018,           2018-07-08 10:37:00,1.5,9.337,7.774,105.796,3.45,1.012
214424,Summer2018,2018,           2018-07-08 11:07:00,1.5,9.318,7.799,106.087,3.45,1.012
214424,Summer2018,2018,           2018-07-08 11:37:00,1.5,9.420,7.811,106.527,3.45,1.013
214424,Summer2018,2018,           2018-07-08 12:07:00,1.5,9.696,7.774,106.720,3.45,1.011
214424,Summer2018,2018,           2018-07-08 12:37:00,1.5,9.760,7.770,106.830,3.45,1.011
214424,Summer2018,2018,           2018-07-08 13:07:00,1.5,9.861,7.773,107.132,3.45,1.011
214424,Summer2018,2018,           2018-07-08 13:37:00,1.5,9.870,7.814,107.720,3.45,1.012
214424,Summer2018,2018,           2018-07-08 14:07:00,1.5,10.080,7.780,107.794,3.45,1.011
214424,Summer2018,2018,           2018-07-08 14:37:00,1.5,10.117,7.799,108.154,3.45,1.011
214424,Summer2018,2018,           2018-07-08 15:07:00,1.5,10.180,7.815,108.539,3.45,1.011
214424,Summer2018,2018,           2018-07-08 15:37:00,1.5,10.189,7.830,108.771,3.45,1.012
214424,Summer2018,2018,           2018-07-08 16:07:00,1.5,10.071,7.848,108.713,3.45,1.011
214424,Summer2018,2018,           2018-07-08 16:37:00,1.5,10.171,7.840,108.863,3.45,1.012
214424,Summer2018,2018,           2018-07-08 17:07:00,1.5,10.199,7.828,108.769,3.45,1.012
214424,Summer2018,2018,           2018-07-08 17:37:00,1.5,10.308,7.823,108.984,3.45,1.012
214424,Summer2018,2018,           2018-07-08 18:07:00,1.5,10.326,7.833,109.170,3.45,1.012
214424,Summer2018,2018,           2018-07-08 18:37:00,1.5,10.317,7.827,109.063,3.45,1.012
214424,Summer2018,2018,           2018-07-08 19:07:00,1.5,10.235,7.854,109.225,3.45,1.011
214424,Summer2018,2018,           2018-07-08 19:37:00,1.5,10.253,7.822,108.827,3.45,1.011
214424,Summer2018,2018,           2018-07-08 20:07:00,1.5,10.171,7.844,108.919,3.45,1.011
214424,Summer2018,2018,           2018-07-08 20:37:00,1.5,10.171,7.816,108.530,3.45,1.011
214424,Summer2018,2018,           2018-07-08 21:07:00,1.5,10.117,7.826,108.528,3.45,1.012
