sensor,depth,Unix.Timestamp,UTC_Date_._Time,Mountain.Standard.Time,Battery,Temperature,Sensor,Gain
240115,9,1530861120,           2018-07-06 07:12:00,           2018-07-06 01:12:00,3.06,6.583,40.06131,10
240115,9,1530862920,           2018-07-06 07:42:00,           2018-07-06 01:42:00,3.06,6.622,36.7843,10
240115,9,1530864720,           2018-07-06 08:12:00,           2018-07-06 02:12:00,3.06,6.622,42.20439,10
240115,9,1530866520,           2018-07-06 08:42:00,           2018-07-06 02:42:00,3.06,6.544,39.74328,10
240115,9,1530868320,           2018-07-06 09:12:00,           2018-07-06 03:12:00,3.06,6.583,40.68207,10
240115,9,1530870120,           2018-07-06 09:42:00,           2018-07-06 03:42:00,3.06,6.602,37.15808,10
240115,9,1530871920,           2018-07-06 10:12:00,           2018-07-06 04:12:00,3.06,6.671,36.93207,10
240115,9,1530873720,           2018-07-06 10:42:00,           2018-07-06 04:42:00,3.06,6.583,47.94335,10
240115,9,1530875520,           2018-07-06 11:12:00,           2018-07-06 05:12:00,3.06,6.719,39.09925,10
240115,9,1530877320,           2018-07-06 11:42:00,           2018-07-06 05:42:00,3.06,6.612,44.99835,10
240115,9,1530879120,           2018-07-06 12:12:00,           2018-07-06 06:12:00,3.06,6.641,43.29494,10
240115,9,1530880920,           2018-07-06 12:42:00,           2018-07-06 06:42:00,3.06,6.485,45.14206,10
240115,9,1530882720,           2018-07-06 13:12:00,           2018-07-06 07:12:00,3.06,6.475,44.02644,10
240115,9,1530884520,           2018-07-06 13:42:00,           2018-07-06 07:42:00,3.06,6.651,40.30459,10
240115,9,1530886320,           2018-07-06 14:12:00,           2018-07-06 08:12:00,3.06,6.593,40.86107,10
240115,9,1530888120,           2018-07-06 14:42:00,           2018-07-06 08:42:00,3.06,6.651,38.75306,10
240115,9,1530889920,           2018-07-06 15:12:00,           2018-07-06 09:12:00,3.06,6.671,44.17707,10
240115,9,1530891720,           2018-07-06 15:42:00,           2018-07-06 09:42:00,3.06,6.641,45.7557,10
240115,9,1530893520,           2018-07-06 16:12:00,           2018-07-06 10:12:00,3.06,6.563,49.74087,10
240115,9,1530895320,           2018-07-06 16:42:00,           2018-07-06 10:42:00,3.06,6.417,50.33697,10
240115,9,1530897120,           2018-07-06 17:12:00,           2018-07-06 11:12:00,3.06,6.758,42.54282,10
240115,9,1530898920,           2018-07-06 17:42:00,           2018-07-06 11:42:00,3.06,6.7,46.60178,10
240115,9,1530900720,           2018-07-06 18:12:00,           2018-07-06 12:12:00,3.06,6.816,43.70421,10
240115,9,1530902520,           2018-07-06 18:42:00,           2018-07-06 12:42:00,3.06,6.68,46.50327,10
240115,9,1530904320,           2018-07-06 19:12:00,           2018-07-06 13:12:00,3.06,6.524,47.68981,10
240115,9,1530906120,           2018-07-06 19:42:00,           2018-07-06 13:42:00,3.06,6.524,45.67989,10
240115,9,1530907920,           2018-07-06 20:12:00,           2018-07-06 14:12:00,3.06,6.593,44.26349,10
240115,9,1530909720,           2018-07-06 20:42:00,           2018-07-06 14:42:00,3.06,6.573,40.25365,10
240115,9,1530911520,           2018-07-06 21:12:00,           2018-07-06 15:12:00,3.06,6.554,44.52766,10
240115,9,1530913320,           2018-07-06 21:42:00,           2018-07-06 15:42:00,3.06,6.671,37.32248,10
240115,9,1530915120,           2018-07-06 22:12:00,           2018-07-06 16:12:00,3.06,6.816,34.21818,10
240115,9,1530916920,           2018-07-06 22:42:00,           2018-07-06 16:42:00,3.06,6.739,48.13688,10
240115,9,1530918720,           2018-07-06 23:12:00,           2018-07-06 17:12:00,3.06,6.446,49.26662,10
240115,9,1530920520,           2018-07-06 23:42:00,           2018-07-06 17:42:00,3.06,6.456,37.52272,10
240115,9,1530922320,           2018-07-07 00:12:00,           2018-07-06 18:12:00,3.06,6.661,37.46445,10
240115,9,1530924120,           2018-07-07 00:42:00,           2018-07-06 18:42:00,3.06,6.797,16.64784,10
240115,9,1530925920,           2018-07-07 01:12:00,           2018-07-06 19:12:00,3.06,6.583,39.70569,10
240115,9,1530927720,           2018-07-07 01:42:00,           2018-07-06 19:42:00,3.06,6.69,25.26816,10
240115,9,1530929520,           2018-07-07 02:12:00,           2018-07-06 20:12:00,3.06,6.739,37.02653,10
240115,9,1530931320,           2018-07-07 02:42:00,           2018-07-06 20:42:00,3.06,6.524,42.63302,10
240115,9,1530933120,           2018-07-07 03:12:00,           2018-07-06 21:12:00,3.06,6.495,45.28333,10
240115,9,1530934920,           2018-07-07 03:42:00,           2018-07-06 21:42:00,3.06,6.524,37.97853,10
240115,9,1530936720,           2018-07-07 04:12:00,           2018-07-06 22:12:00,3.06,6.671,40.96412,10
