"","sensor","deployment","year","timestamp","depth","Temperature","C7_output","chlora","Gain","Battery"
"229",240115,"Summer2018",2018,2018-07-08 06:12:00,9,6.593,38.66601,0,10,3.05
"230",240115,"Summer2018",2018,2018-07-08 06:42:00,9,6.622,26.91016,0,10,3.05
"231",240115,"Summer2018",2018,2018-07-08 07:12:00,9,6.69,32.36183,0,10,3.05
"232",240115,"Summer2018",2018,2018-07-08 07:42:00,9,6.544,48.26788,9.59908,10,3.06
"233",240115,"Summer2018",2018,2018-07-08 08:12:00,9,6.544,40.19916,1.53036,10,3.05
"234",240115,"Summer2018",2018,2018-07-08 08:42:00,9,6.534,45.46589,6.79709,10,3.05
"235",240115,"Summer2018",2018,2018-07-08 09:12:00,9,6.622,44.26356,5.59476,10,3.05
"236",240115,"Summer2018",2018,2018-07-08 09:42:00,9,6.641,40.40596,1.73716,10,3.05
"237",240115,"Summer2018",2018,2018-07-08 10:12:00,9,6.524,47.8134,9.1446,10,3.05
"238",240115,"Summer2018",2018,2018-07-08 10:42:00,9,6.632,40.62283,1.95403,10,3.05
"239",240115,"Summer2018",2018,2018-07-08 11:12:00,9,6.632,42.81537,4.14657,10,3.05
"240",240115,"Summer2018",2018,2018-07-08 11:42:00,9,6.719,41.71812,3.04932,10,3.05
"241",240115,"Summer2018",2018,2018-07-08 12:12:00,9,6.68,40.38346,1.71466,10,3.05
"242",240115,"Summer2018",2018,2018-07-08 12:42:00,9,6.68,45.44598,6.77718,10,3.05
"243",240115,"Summer2018",2018,2018-07-08 13:12:00,9,6.583,44.6975,6.0287,10,3.05
"244",240115,"Summer2018",2018,2018-07-08 13:42:00,9,6.632,42.87686,4.20806,10,3.05
"245",240115,"Summer2018",2018,2018-07-08 14:12:00,9,6.602,49.2486,10.5798,10,3.05
"246",240115,"Summer2018",2018,2018-07-08 14:42:00,9,6.641,46.57062,7.90182,10,3.05
"247",240115,"Summer2018",2018,2018-07-08 15:12:00,9,6.622,40.80825,2.13945,10,3.05
"248",240115,"Summer2018",2018,2018-07-08 15:42:00,9,6.69,30.27478,0,10,3.05
"249",240115,"Summer2018",2018,2018-07-08 16:12:00,9,6.612,41.95811,3.28931,10,3.06
"250",240115,"Summer2018",2018,2018-07-08 16:42:00,9,6.7,38.1425,0,10,3.05
"251",240115,"Summer2018",2018,2018-07-08 17:12:00,9,6.641,37.34966,0,10,3.05
"252",240115,"Summer2018",2018,2018-07-08 17:42:00,9,6.651,37.9867,0,10,3.05
"253",240115,"Summer2018",2018,2018-07-08 18:12:00,9,6.466,41.09855,2.42975000000001,10,3.05
"254",240115,"Summer2018",2018,2018-07-08 18:42:00,9,6.602,39.99717,1.32837,10,3.05
"255",240115,"Summer2018",2018,2018-07-08 19:12:00,9,6.554,39.12091,0.452110000000005,10,3.05
"256",240115,"Summer2018",2018,2018-07-08 19:42:00,9,6.563,41.82124,3.15244000000001,10,3.05
"257",240115,"Summer2018",2018,2018-07-08 20:12:00,9,6.602,33.67434,0,10,3.05
"258",240115,"Summer2018",2018,2018-07-08 20:42:00,9,6.651,34.54914,0,10,3.05
"259",240115,"Summer2018",2018,2018-07-08 21:12:00,9,6.641,41.98417,3.31537,10,3.05
"260",240115,"Summer2018",2018,2018-07-08 21:42:00,9,6.573,42.28844,3.61964,10,3.05
"261",240115,"Summer2018",2018,2018-07-08 22:12:00,9,6.554,41.69912,3.03032,10,3.05
"262",240115,"Summer2018",2018,2018-07-08 22:42:00,9,6.651,35.83565,0,10,3.05
"263",240115,"Summer2018",2018,2018-07-08 23:12:00,9,6.602,43.43446,4.76566,10,3.05
"264",240115,"Summer2018",2018,2018-07-08 23:42:00,9,6.563,45.92415,7.25535,10,3.05
"265",240115,"Summer2018",2018,2018-07-09 00:12:00,9,6.534,42.04153,3.37273,10,3.07
"266",240115,"Summer2018",2018,2018-07-09 00:42:00,9,6.612,35.00844,0,10,3.05
"267",240115,"Summer2018",2018,2018-07-09 01:12:00,9,6.651,24.30624,0,10,3.05
"268",240115,"Summer2018",2018,2018-07-09 01:42:00,9,6.671,41.47708,2.80828,10,3.05
"269",240115,"Summer2018",2018,2018-07-09 02:12:00,9,6.505,43.47295,4.80415,10,3.05
"270",240115,"Summer2018",2018,2018-07-09 02:42:00,9,6.563,41.79169,3.12289000000001,10,3.05
"271",240115,"Summer2018",2018,2018-07-09 03:12:00,9,6.602,41.08779,2.41899,10,3.07
"272",240115,"Summer2018",2018,2018-07-09 03:42:00,9,6.573,34.5026,0,10,3.05
"273",240115,"Summer2018",2018,2018-07-09 04:12:00,9,6.651,30.77705,0,10,3.05
"274",240115,"Summer2018",2018,2018-07-09 04:42:00,9,6.622,48.03397,9.36517,10,3.05
"275",240115,"Summer2018",2018,2018-07-09 05:12:00,9,6.456,48.33481,9.66601,10,3.05
