Sensor,depth,Unix.Timestamp,UTC_Date_._Time,Mountain.Standard.Time,Battery,Temperature,PAR,Acceleration.X,Acceleration.Y,Acceleration.Z
695220,9,1530763620,           2018-07-05 04:07:00,           2018-07-04 22:07:00,3.47,6.495,0.10974,1.136,-0.077,0.209
695220,9,1530765420,           2018-07-05 04:37:00,           2018-07-04 22:37:00,3.46,6.407,-1.01683,1.139,-0.084,0.28
695220,9,1530767220,           2018-07-05 05:07:00,           2018-07-04 23:07:00,3.46,6.446,0.50666,1.136,-0.073,0.215
695220,9,1530769020,           2018-07-05 05:37:00,           2018-07-04 23:37:00,3.46,6.466,0.32279,1.139,-0.082,0.264
695220,9,1530770820,           2018-07-05 06:07:00,           2018-07-05 00:07:00,3.46,6.436,-0.29886,1.134,-0.072,0.217
695220,9,1530772620,           2018-07-05 06:37:00,           2018-07-05 00:37:00,3.46,6.475,-1.08979,1.134,-0.077,0.22
695220,9,1530774420,           2018-07-05 07:07:00,           2018-07-05 01:07:00,3.46,6.563,0.20021,1.136,-0.08,0.28
695220,9,1530776220,           2018-07-05 07:37:00,           2018-07-05 01:37:00,3.46,6.505,-0.15877,1.139,-0.074,0.231
695220,9,1530778020,           2018-07-05 08:07:00,           2018-07-05 02:07:00,3.46,6.534,0.83938,1.132,-0.077,0.227
695220,9,1530779820,           2018-07-05 08:37:00,           2018-07-05 02:37:00,3.46,6.563,-0.97305,1.136,-0.072,0.222
695220,9,1530781620,           2018-07-05 09:07:00,           2018-07-05 03:07:00,3.46,6.348,-1.27074,1.136,-0.08,0.228
695220,9,1530783420,           2018-07-05 09:37:00,           2018-07-05 03:37:00,3.46,6.485,-0.84755,1.129,-0.08,0.223
695220,9,1530785220,           2018-07-05 10:07:00,           2018-07-05 04:07:00,3.46,6.544,-0.35431,1.143,-0.08,0.236
695220,9,1530787020,           2018-07-05 10:37:00,           2018-07-05 04:37:00,3.46,6.544,-0.92927,1.132,-0.077,0.238
695220,9,1530788820,           2018-07-05 11:07:00,           2018-07-05 05:07:00,3.46,6.573,-0.08872,1.136,-0.077,0.22
695220,9,1530790620,           2018-07-05 11:37:00,           2018-07-05 05:37:00,3.46,6.515,1.11081,1.136,-0.08,0.238
695220,9,1530792420,           2018-07-05 12:07:00,           2018-07-05 06:07:00,3.46,6.387,0.59714,1.139,-0.079,0.24
695220,9,1530794220,           2018-07-05 12:37:00,           2018-07-05 06:37:00,3.46,6.417,1.63031,1.144,-0.089,0.288
695220,9,1530796020,           2018-07-05 13:07:00,           2018-07-05 07:07:00,3.46,6.466,4.40586,1.136,-0.093,0.291
695220,9,1530797820,           2018-07-05 13:37:00,           2018-07-05 07:37:00,3.46,6.515,3.7988,1.137,-0.08,0.222
695220,9,1530799620,           2018-07-05 14:07:00,           2018-07-05 08:07:00,3.46,6.554,6.71737,1.134,-0.082,0.236
695220,9,1530801420,           2018-07-05 14:37:00,           2018-07-05 08:37:00,3.46,6.593,6.56268,1.136,-0.09,0.24
695220,9,1530803220,           2018-07-05 15:07:00,           2018-07-05 09:07:00,3.46,6.505,10.04453,1.136,-0.1,0.3
695220,9,1530805020,           2018-07-05 15:37:00,           2018-07-05 09:37:00,3.46,6.417,14.06631,1.136,-0.105,0.288
695220,9,1530806820,           2018-07-05 16:07:00,           2018-07-05 10:07:00,3.46,6.485,17.27381,1.132,-0.089,0.236
695220,9,1530808620,           2018-07-05 16:37:00,           2018-07-05 10:37:00,3.46,6.456,21.0767,1.132,-0.113,0.313
695220,9,1530810420,           2018-07-05 17:07:00,           2018-07-05 11:07:00,3.46,6.456,21.06211,1.134,-0.113,0.255
695220,9,1530812220,           2018-07-05 17:37:00,           2018-07-05 11:37:00,3.46,6.456,31.44344,1.144,-0.116,0.319
695220,9,1530814020,           2018-07-05 18:07:00,           2018-07-05 12:07:00,3.46,6.534,6.75823,1.142,-0.109,0.305
695220,9,1530815820,           2018-07-05 18:37:00,           2018-07-05 12:37:00,3.46,6.515,3.3581,1.132,-0.079,0.228
695220,9,1530817620,           2018-07-05 19:07:00,           2018-07-05 13:07:00,3.46,6.563,2.09144,1.139,-0.08,0.233
695220,9,1530819420,           2018-07-05 19:37:00,           2018-07-05 13:37:00,3.46,6.456,4.7094,1.144,-0.072,0.262
695220,9,1530821220,           2018-07-05 20:07:00,           2018-07-05 14:07:00,3.45,6.417,10.81503,1.142,-0.097,0.288
695220,9,1530823020,           2018-07-05 20:37:00,           2018-07-05 14:37:00,3.46,6.505,5.83888,1.136,-0.089,0.275
695220,9,1530824820,           2018-07-05 21:07:00,           2018-07-05 15:07:00,3.45,6.544,3.47192,1.139,-0.097,0.28
695220,9,1530826620,           2018-07-05 21:37:00,           2018-07-05 15:37:00,3.45,6.426,0.12725,1.144,-0.089,0.239
695220,9,1530828420,           2018-07-05 22:07:00,           2018-07-05 16:07:00,3.45,6.338,4.43797,1.134,-0.082,0.239
695220,9,1530830220,           2018-07-05 22:37:00,           2018-07-05 16:37:00,3.45,6.563,5.1034,1.139,-0.089,0.241
695220,9,1530832020,           2018-07-05 23:07:00,           2018-07-05 17:07:00,3.45,6.515,3.00204,1.136,-0.097,0.24
695220,9,1530833820,           2018-07-05 23:37:00,           2018-07-05 17:37:00,3.45,6.593,1.00866,1.136,-0.089,0.303
695220,9,1530835620,           2018-07-06 00:07:00,           2018-07-05 18:07:00,3.45,6.397,1.63031,1.136,-0.1,0.263
695220,9,1530837420,           2018-07-06 00:37:00,           2018-07-05 18:37:00,3.45,6.456,3.69665,1.14,-0.08,0.232
695220,9,1530839220,           2018-07-06 01:07:00,           2018-07-05 19:07:00,3.45,6.407,1.56318,1.132,-0.073,0.233
695220,9,1530841020,           2018-07-06 01:37:00,           2018-07-05 19:37:00,3.45,6.544,1.99805,1.139,-0.089,0.294
695220,9,1530842820,           2018-07-06 02:07:00,           2018-07-05 20:07:00,3.45,6.495,-0.47397,1.139,-0.08,0.236
695220,9,1530844620,           2018-07-06 02:37:00,           2018-07-05 20:37:00,3.45,6.534,-0.32513,1.137,-0.073,0.232
695220,9,1530846420,           2018-07-06 03:07:00,           2018-07-05 21:07:00,3.45,6.524,-0.62574,1.134,-0.084,0.225
695220,9,1530848220,           2018-07-06 03:37:00,           2018-07-05 21:37:00,3.45,6.524,0.08347,1.136,-0.079,0.231
695220,9,1530850020,           2018-07-06 04:07:00,           2018-07-05 22:07:00,3.45,6.456,-0.75124,1.137,-0.093,0.284
695220,9,1530851820,           2018-07-06 04:37:00,           2018-07-05 22:37:00,3.45,6.524,0.83354,1.134,-0.08,0.236
695220,9,1530853620,           2018-07-06 05:07:00,           2018-07-05 23:07:00,3.45,6.475,0.44537,1.136,-0.093,0.289
695220,9,1530855420,           2018-07-06 05:37:00,           2018-07-05 23:37:00,3.45,6.515,1.6128,1.127,-0.077,0.236
695220,9,1530857220,           2018-07-06 06:07:00,           2018-07-06 00:07:00,3.45,6.417,0.21481,1.142,-0.092,0.279
695220,9,1530859020,           2018-07-06 06:37:00,           2018-07-06 00:37:00,3.45,6.485,-0.95262,1.136,-0.072,0.236
695220,9,1530860820,           2018-07-06 07:07:00,           2018-07-06 01:07:00,3.45,6.515,-0.00117,1.136,-0.08,0.238
695220,9,1530862620,           2018-07-06 07:37:00,           2018-07-06 01:37:00,3.45,6.466,-0.75999,1.139,-0.082,0.284
695220,9,1530864420,           2018-07-06 08:07:00,           2018-07-06 02:07:00,3.45,6.534,0.83938,1.132,-0.08,0.23
695220,9,1530866220,           2018-07-06 08:37:00,           2018-07-06 02:37:00,3.45,6.397,0.04845,1.132,-0.077,0.224
695220,9,1530868020,           2018-07-06 09:07:00,           2018-07-06 03:07:00,3.45,6.485,0.28777,1.132,-0.079,0.233
695220,9,1530869820,           2018-07-06 09:37:00,           2018-07-06 03:37:00,3.45,6.515,-0.12667,1.136,-0.077,0.244
695220,9,1530871620,           2018-07-06 10:07:00,           2018-07-06 04:07:00,3.45,6.534,-0.16753,1.142,-0.063,0.198
