,sensor,deployment,year,Mountain.Standard.Time,Depth,Temperature,Dissolved.Oxygen,Dissolved.Oxygen.Saturation,Battery,Q
176,214424,Summer2018,2018,           2018-07-07 02:07:00,1.5,9.318,8.10648,110.276669,3.45,1.012
177,214424,Summer2018,2018,           2018-07-07 02:37:00,1.5,9.3,7.971489,108.392871,3.45,1.011
178,214424,Summer2018,2018,           2018-07-07 03:07:00,1.5,9.152,7.956489,107.799841,3.45,1.012
179,214424,Summer2018,2018,           2018-07-07 03:37:00,1.5,9.383,8.048484,109.660736,3.45,1.011
180,214424,Summer2018,2018,           2018-07-07 04:07:00,1.5,9.355,8.015486,109.136902,3.45,1.012
181,214424,Summer2018,2018,           2018-07-07 04:37:00,1.5,9.3,7.910492,107.563473,3.45,1.01
182,214424,Summer2018,2018,           2018-07-07 05:07:00,1.5,9.337,7.94949,108.190997,3.45,1.011
183,214424,Summer2018,2018,           2018-07-07 05:37:00,1.5,9.272,7.900493,107.35438,3.45,1.011
184,214424,Summer2018,2018,           2018-07-07 06:07:00,1.5,9.263,7.873495,106.964098,3.45,1.011
185,214424,Summer2018,2018,           2018-07-07 06:37:00,1.5,9.161,7.870494,106.658122,3.45,1.011
186,214424,Summer2018,2018,           2018-07-07 07:07:00,1.5,9.105,7.902492,106.945631,3.45,1.012
187,214424,Summer2018,2018,           2018-07-07 07:37:00,1.5,9.124,7.879494,106.683813,3.45,1.011
188,214424,Summer2018,2018,           2018-07-07 08:07:00,1.5,8.976,7.92149,106.865589,3.45,1.011
189,214424,Summer2018,2018,           2018-07-07 08:37:00,1.5,9.18,7.872494,106.734625,3.45,1.011
190,214424,Summer2018,2018,           2018-07-07 09:07:00,1.5,9.189,7.896493,107.083468,3.45,1.011
191,214424,Summer2018,2018,           2018-07-07 09:37:00,1.5,9.254,7.885494,107.103657,3.45,1.011
192,214424,Summer2018,2018,           2018-07-07 10:07:00,1.5,9.3,7.902493,107.454699,3.45,1.01
193,214424,Summer2018,2018,           2018-07-07 10:37:00,1.5,9.337,7.918492,107.76912,3.45,1.011
194,214424,Summer2018,2018,           2018-07-07 11:07:00,1.5,9.429,7.911493,107.91464,3.45,1.011
195,214424,Summer2018,2018,           2018-07-07 11:37:00,1.5,9.484,7.912493,108.072325,3.45,1.012
196,214424,Summer2018,2018,           2018-07-07 12:07:00,1.5,9.493,7.916493,108.150544,3.45,1.011
197,214424,Summer2018,2018,           2018-07-07 12:37:00,1.5,9.576,7.919493,108.409225,3.45,1.011
198,214424,Summer2018,2018,           2018-07-07 13:07:00,1.5,9.622,7.932492,108.708079,3.45,1.011
199,214424,Summer2018,2018,           2018-07-07 13:37:00,1.5,9.659,7.950491,109.052244,3.45,1.01
200,214424,Summer2018,2018,           2018-07-07 14:07:00,1.5,9.659,7.97649,109.408848,3.45,1.012
201,214424,Summer2018,2018,           2018-07-07 14:37:00,1.5,9.696,7.962491,109.31451,3.45,1.011
202,214424,Summer2018,2018,           2018-07-07 15:07:00,1.5,9.687,7.992489,109.702492,3.45,1.012
203,214424,Summer2018,2018,           2018-07-07 15:37:00,1.5,9.65,7.982489,109.467325,3.45,1.011
204,214424,Summer2018,2018,           2018-07-07 16:07:00,1.5,9.842,7.953492,109.576232,3.45,1.012
205,214424,Summer2018,2018,           2018-07-07 16:37:00,1.5,9.852,7.912495,109.037674,3.45,1.011
206,214424,Summer2018,2018,           2018-07-07 17:07:00,1.5,9.778,7.926494,109.035908,3.45,1.011
207,214424,Summer2018,2018,           2018-07-07 17:37:00,1.5,9.705,7.944492,109.09112,3.45,1.011
208,214424,Summer2018,2018,           2018-07-07 18:07:00,1.5,9.723,7.920494,108.808864,3.45,1.011
209,214424,Summer2018,2018,           2018-07-07 18:37:00,1.5,9.659,7.944492,108.96995,3.45,1.011
210,214424,Summer2018,2018,           2018-07-07 19:07:00,1.5,9.65,7.938492,108.863973,3.45,1.012
211,214424,Summer2018,2018,           2018-07-07 19:37:00,1.5,9.576,7.983489,109.285259,3.45,1.012
212,214424,Summer2018,2018,           2018-07-07 20:07:00,1.5,9.687,7.935493,108.920177,3.45,1.011
213,214424,Summer2018,2018,           2018-07-07 20:37:00,1.5,9.687,7.955491,109.194674,3.45,1.012
214,214424,Summer2018,2018,           2018-07-07 21:07:00,1.5,9.687,7.938492,108.961352,3.45,1.011
215,214424,Summer2018,2018,           2018-07-07 21:37:00,1.5,9.696,7.932493,108.902676,3.45,1.012
216,214424,Summer2018,2018,           2018-07-07 22:07:00,1.5,9.687,7.926493,108.796654,3.45,1.012
217,214424,Summer2018,2018,           2018-07-07 22:37:00,1.5,9.668,7.901495,108.403758,3.45,1.01
218,214424,Summer2018,2018,           2018-07-07 23:07:00,1.5,9.641,7.903494,108.360455,3.45,1.011
219,214424,Summer2018,2018,           2018-07-07 23:37:00,1.5,9.65,7.896495,108.288046,3.45,1.012
220,214424,Summer2018,2018,           2018-07-08 00:07:00,1.5,9.595,7.912494,108.363219,3.45,1.012
221,214424,Summer2018,2018,           2018-07-08 00:37:00,1.5,9.567,7.901494,108.139281,3.45,1.013
222,214424,Summer2018,2018,           2018-07-08 01:07:00,1.5,9.466,7.853497,107.219731,3.45,1.012
223,214424,Summer2018,2018,           2018-07-08 01:37:00,1.5,9.383,7.816499,106.499934,3.45,1.012
224,214424,Summer2018,2018,           2018-07-08 02:07:00,1.5,9.374,7.834498,106.721844,3.45,1.012
225,214424,Summer2018,2018,           2018-07-08 02:37:00,1.5,9.41,7.842497,106.924217,3.45,1.011
226,214424,Summer2018,2018,           2018-07-08 03:07:00,1.5,9.401,7.821499,106.614632,3.45,1.011
227,214424,Summer2018,2018,           2018-07-08 03:37:00,1.5,9.3,7.833497,106.516527,3.45,1.011
228,214424,Summer2018,2018,           2018-07-08 04:07:00,1.5,9.337,7.815499,106.367401,3.45,1.011
229,214424,Summer2018,2018,           2018-07-08 04:37:00,1.5,9.337,7.7885,105.999959,3.45,1.012
230,214424,Summer2018,2018,           2018-07-08 05:07:00,1.5,9.3,7.773501,105.700725,3.45,1.012
231,214424,Summer2018,2018,           2018-07-08 05:37:00,1.5,9.263,7.755502,105.361131,3.45,1.012
232,214424,Summer2018,2018,           2018-07-08 06:07:00,1.5,9.235,7.730504,104.949988,3.45,1.012
