sensor,deployment,year,timestamp,depth,temperature
102495,Summer2018,2018,2018-07-06 11:30:00,0.4,9.477
102495,Summer2018,2018,2018-07-06 12:00:00,0.4,9.507
102495,Summer2018,2018,2018-07-06 12:30:00,0.4,9.587
102495,Summer2018,2018,2018-07-06 13:00:00,0.4,9.804
102495,Summer2018,2018,2018-07-06 13:30:00,0.4,10.007
102495,Summer2018,2018,2018-07-06 14:00:00,0.4,10.207
102495,Summer2018,2018,2018-07-06 14:30:00,0.4,10.063
102495,Summer2018,2018,2018-07-06 15:00:00,0.4,10.202
102495,Summer2018,2018,2018-07-06 15:30:00,0.4,10.344
102495,Summer2018,2018,2018-07-06 16:00:00,0.4,10.365
102495,Summer2018,2018,2018-07-06 16:30:00,0.4,10.38
102495,Summer2018,2018,2018-07-06 17:00:00,0.4,10.408
102495,Summer2018,2018,2018-07-06 17:30:00,0.4,10.439
102495,Summer2018,2018,2018-07-06 18:00:00,0.4,10.435
102495,Summer2018,2018,2018-07-06 18:30:00,0.4,10.492
102495,Summer2018,2018,2018-07-06 19:00:00,0.4,10.386
102495,Summer2018,2018,2018-07-06 19:30:00,0.4,10.271
102495,Summer2018,2018,2018-07-06 20:00:00,0.4,10.234
102495,Summer2018,2018,2018-07-06 20:30:00,0.4,10.212
102495,Summer2018,2018,2018-07-06 21:00:00,0.4,10.162
102495,Summer2018,2018,2018-07-06 21:30:00,0.4,10.142
102495,Summer2018,2018,2018-07-06 22:00:00,0.4,10.142
102495,Summer2018,2018,2018-07-06 22:30:00,0.4,10.128
102495,Summer2018,2018,2018-07-06 23:00:00,0.4,10.078
102495,Summer2018,2018,2018-07-06 23:30:00,0.4,10.033
102495,Summer2018,2018,2018-07-07 00:00:00,0.4,10.002
102495,Summer2018,2018,2018-07-07 00:30:00,0.4,9.95
102495,Summer2018,2018,2018-07-07 01:00:00,0.4,9.91
102495,Summer2018,2018,2018-07-07 01:30:00,0.4,9.865
102495,Summer2018,2018,2018-07-07 02:00:00,0.4,9.834
102495,Summer2018,2018,2018-07-07 02:30:00,0.4,9.786
102495,Summer2018,2018,2018-07-07 03:00:00,0.4,9.718
102495,Summer2018,2018,2018-07-07 03:30:00,0.4,9.663
102495,Summer2018,2018,2018-07-07 04:00:00,0.4,9.602
102495,Summer2018,2018,2018-07-07 04:30:00,0.4,9.579
102495,Summer2018,2018,2018-07-07 05:00:00,0.4,9.472
102495,Summer2018,2018,2018-07-07 05:30:00,0.4,9.367
102495,Summer2018,2018,2018-07-07 06:00:00,0.4,9.291
102495,Summer2018,2018,2018-07-07 06:30:00,0.4,9.231
