Sensor,Depth ,Time,Temperature
102501,11.5,7/7/18 14:30,6.35427054
102501,11.5,7/7/18 15:00,6.36981807
102501,11.5,7/7/18 15:30,6.29332177
102501,11.5,7/7/18 16:00,6.365036739
102501,11.5,7/7/18 16:30,6.345859296
102501,11.5,7/7/18 17:00,6.340204109
102501,11.5,7/7/18 17:30,6.302018778
102501,11.5,7/7/18 18:00,6.368791107
102501,11.5,7/7/18 18:30,6.442221571
102501,11.5,7/7/18 19:00,6.413611513
102501,11.5,7/7/18 19:30,6.294014278
102501,11.5,7/7/18 20:00,6.317058567
102501,11.5,7/7/18 20:30,6.280565442
102501,11.5,7/7/18 21:00,6.356806834
102501,11.5,7/7/18 21:30,6.354466374
102501,11.5,7/7/18 22:00,6.344880142
102501,11.5,7/7/18 22:30,6.3462223
102501,11.5,7/7/18 23:00,6.342339126
102501,11.5,7/7/18 23:30,6.349560992
102501,11.5,7/8/18 0:00,6.361702729
102501,11.5,7/8/18 0:30,6.350019526
102501,11.5,7/8/18 1:00,6.342654365
102501,11.5,7/8/18 1:30,6.339559307
102501,11.5,7/8/18 2:00,6.370482014
102501,11.5,7/8/18 2:30,6.340753386
102501,11.5,7/8/18 3:00,6.400417688
102501,11.5,7/8/18 3:30,6.402997194
102501,11.5,7/8/18 4:00,6.401535472
102501,11.5,7/8/18 4:30,6.329061077
102501,11.5,7/8/18 5:00,6.321084848
102501,11.5,7/8/18 5:30,6.318032896
102501,11.5,7/8/18 6:00,6.300189577
102501,11.5,7/8/18 6:30,6.308542816
102501,11.5,7/8/18 7:00,6.34522404
102501,11.5,7/8/18 7:30,6.328803161
102501,11.5,7/8/18 8:00,6.325607881
102501,11.5,7/8/18 8:30,6.346824123
102501,11.5,7/8/18 9:00,6.390138008
102501,11.5,7/8/18 9:30,6.421708539
102501,11.5,7/8/18 10:00,6.271935621
102501,11.5,7/8/18 10:30,6.32329621
102501,11.5,7/8/18 11:00,6.307205526
102501,11.5,7/8/18 11:30,6.316963045
102501,11.5,7/8/18 12:00,6.310892635
102501,11.5,7/8/18 12:30,6.327857471
102501,11.5,7/8/18 13:00,6.357700033
102501,11.5,7/8/18 13:30,6.342577943
102501,11.5,7/8/18 14:00,6.327914785
102501,11.5,7/8/18 14:30,6.32406995
102501,11.5,7/8/18 15:00,6.360016626
102501,11.5,7/8/18 15:30,6.374317623
102501,11.5,7/8/18 16:00,6.399333345
102501,11.5,7/8/18 16:30,6.391308314
102501,11.5,7/8/18 17:00,6.299477958
102501,11.5,7/8/18 17:30,6.340323517
102501,11.5,7/8/18 18:00,6.274385579
102501,11.5,7/8/18 18:30,6.286769252
102501,11.5,7/8/18 19:00,6.2890951
102501,11.5,7/8/18 19:30,6.31992902
102501,11.5,7/8/18 20:00,6.304177529
102501,11.5,7/8/18 20:30,6.310672936
102501,11.5,7/8/18 21:00,6.311933818
102501,11.5,7/8/18 21:30,6.336378293
102501,11.5,7/8/18 22:00,6.348925731
102501,11.5,7/8/18 22:30,6.329443175
102501,11.5,7/8/18 23:00,6.294979015
102501,11.5,7/8/18 23:30,6.343069906
102501,11.5,7/9/18 0:00,6.341192807
102501,11.5,7/9/18 0:30,6.349527557
102501,11.5,7/9/18 1:00,6.271945172
102501,11.5,7/9/18 1:30,6.290919489
102501,11.5,7/9/18 2:00,6.29923916
102501,11.5,7/9/18 2:30,6.315372601
102501,11.5,7/9/18 3:00,6.315033497
102501,11.5,7/9/18 3:30,6.309163702
102501,11.5,7/9/18 4:00,6.32465742
102501,11.5,7/9/18 4:30,6.269495225
102501,11.5,7/9/18 5:00,6.25907948
102501,11.5,7/9/18 5:30,6.307372687
102501,11.5,7/9/18 6:00,6.344349967
102501,11.5,7/9/18 6:30,6.379275773
102501,11.5,7/9/18 7:00,6.381329741
102501,11.5,7/9/18 7:30,6.279161356
102501,11.5,7/9/18 8:00,6.279815641
102501,11.5,7/9/18 8:30,6.297056548
102501,11.5,7/9/18 9:00,6.28701282
102501,11.5,7/9/18 9:30,6.27573712
102501,11.5,7/9/18 10:00,6.270383509
102501,11.5,7/9/18 10:30,6.283292436
102501,11.5,7/9/18 11:00,6.311752327
102501,11.5,7/9/18 11:30,6.330923806
102501,11.5,7/9/18 12:00,6.332896394
102501,11.5,7/9/18 12:30,6.313595893
102501,11.5,7/9/18 13:00,6.300094058
102501,11.5,7/9/18 13:30,6.314617977
102501,11.5,7/9/18 14:00,6.332079656
102501,11.5,7/9/18 14:30,6.299062449
102501,11.5,7/9/18 15:00,6.294964687
102501,11.5,7/9/18 15:30,6.279223442
102501,11.5,7/9/18 16:00,6.272040687
102501,11.5,7/9/18 16:30,6.300404496
102501,11.5,7/9/18 17:00,6.325803705
102501,11.5,7/9/18 17:30,6.358750857
102501,11.5,7/9/18 18:00,6.323730842
