"","Sensor","deployment","year","timestamp","depth","Temperature","PAR","Acceleration.X","Acceleration.Y","Acceleration.Z","tilt","Battery","flag_Y","flag_Z","flag_X","flag_T"
"149",695220,"Summer2018",2018,2018-07-06 14:07:00,9,6.456,0.47164,1.134,-0.109,0.271,-1.47497078578774,3.45,"n","n","n","n"
"150",695220,"Summer2018",2018,2018-07-06 14:37:00,9,6.456,5.26684,1.139,-0.109,0.278,-1.47538888861975,3.45,"n","n","n","n"
"151",695220,"Summer2018",2018,2018-07-06 15:07:00,9,6.436,7.05884,1.139,-0.089,0.248,-1.49281605802519,3.45,"n","n","n","n"
"152",695220,"Summer2018",2018,2018-07-06 15:37:00,9,6.583,2.07685,1.134,-0.082,0.28,-1.49861155931452,3.45,"n","n","n","n"
"153",695220,"Summer2018",2018,2018-07-06 16:07:00,9,6.671,8.64654,1.136,-0.079,0.244,-1.50136585411178,3.45,"n","n","n","n"
"154",695220,"Summer2018",2018,2018-07-06 16:37:00,9,6.602,0.13892,1.136,-0.071,0.225,-1.50837751679894,3.45,"n","n","n","n"
"155",695220,"Summer2018",2018,2018-07-06 17:07:00,9,6.289,8.01029,1.136,-0.071,0.236,-1.50837751679894,3.45,"n","n","n","n"
"156",695220,"Summer2018",2018,2018-07-06 17:37:00,9,6.348,1.91341,1.134,-0.073,0.292,-1.50651113042789,3.45,"n","n","n","n"
"157",695220,"Summer2018",2018,2018-07-06 18:07:00,9,6.534,0.45705,1.136,-0.061,0.216,-1.51715066452129,3.45,"n","n","n","n"
"158",695220,"Summer2018",2018,2018-07-06 18:37:00,9,6.7,1.42893,1.158,-0.061,0.102,-1.51816794043214,3.45,"n","n","o","n"
"159",695220,"Summer2018",2018,2018-07-06 19:07:00,9,6.387,1.7704,1.134,-0.072,0.284,-1.50738937482806,3.45,"n","n","n","n"
"160",695220,"Summer2018",2018,2018-07-06 19:37:00,9,6.563,0.49207,1.139,-0.065,0.233,-1.51379055376466,3.45,"n","n","n","n"
"162",695220,"Summer2018",2018,2018-07-06 20:37:00,9,6.377,1.54275,1.116,-0.065,0.248,-1.51261832615071,3.45,"n","n","n","n"
"163",695220,"Summer2018",2018,2018-07-06 21:07:00,9,6.358,0.65259,1.139,-0.068,0.243,-1.51116561366373,3.45,"n","n","n","n"
"165",695220,"Summer2018",2018,2018-07-06 22:07:00,9,6.554,0.13017,1.136,-0.066,0.227,-1.5127629727325,3.45,"n","n","n","n"
"166",695220,"Summer2018",2018,2018-07-06 22:37:00,9,6.475,0.19438,1.142,-0.064,0.241,-1.51481285553482,3.45,"n","n","n","n"
"168",695220,"Summer2018",2018,2018-07-06 23:37:00,9,6.456,0.71096,1.134,-0.065,0.24,-1.51353975333067,3.45,"n","n","n","n"
"172",695220,"Summer2018",2018,2018-07-07 01:37:00,9,6.456,0.14476,1.139,-0.077,0.302,-1.50329587101555,3.45,"n","o","n","n"
"174",695220,"Summer2018",2018,2018-07-07 02:37:00,9,6.407,1.0466,1.134,-0.063,0.24,-1.51529782154918,3.45,"n","n","n","n"
"181",695220,"Summer2018",2018,2018-07-07 06:07:00,9,6.417,0.8744,1.139,-0.055,0.209,-1.52254583394486,3.45,"n","n","n","n"
"183",695220,"Summer2018",2018,2018-07-07 07:07:00,9,6.505,3.44566,1.127,-0.061,0.248,-1.51672309212288,3.45,"n","n","n","n"
